;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81
0;1.068;1.08517350098612;1.0828287922721571;1.0884541805455006;1.0891704144081578;1.09732160454208;1.0888927880717096;1.0884390071802552;1.082828153619721;1.0982852348015728;1.0833401916571384;1.083746122993546;1.0968025481226313;1.0850744799317529;1.1033972603985098;1.090118291549652;1.094311455153661;1.0937609453366646;1.1148445238265583;1.0891586843365977;1.0977136659538915;1.0958166329417145;1.0942919638667132;1.088088248437081;1.0908425653046188;1.08773042516842;1.0897166744488314;1.085628741803755;1.0852301868133178;1.0856045882389835;1.0906471379943756;1.087091610308998;1.0874448047847662;1.085235416073751;1.0881034721335299;1.0857633922383938;1.0872740330348023;1.0849711027605173;1.0853325916539647;1.085224727345385;1.0884584873579615;1.0884405120690932;1.0899139798559951;1.0898432970461829;1.1020030343828044;1.0891661734359221;1.0954955017740546;1.0908432198873539;1.0897201635043257;1.0970999504199512;1.0856015107640473;1.1001408774335153;1.0896024726580726;1.0886424619792467;1.0881042762511806;1.1079697601468184;1.08473473515704;1.0959991279935724;1.0893137220523172;1.0909572771472809;1.090227247129076;1.0930317088832784;1.0946778469256384;1.1050908288781787;1.0891665128479602;1.0856160094915182;1.0839364990338514;1.0924511531204455;1.0867360212102224;1.0851082613457228;1.0853049446567726;1.0909815606584243;1.0925848178454733;1.088861206787879;1.0854616800489143;1.11837533699333;1.0843965522358745;1.0967296741924026;1.0854173452683966;1.0886416826042873;1.0950276674605464;1.085089935192068
1;1.068;1.0828178206664858;1.080524005667511;1.0856989677834474;1.0863799198815487;1.0944318645734326;1.0861936040520066;1.0858006320544347;1.0805219041552898;1.0951456006182987;1.081003725340442;1.0814033617827965;1.0935035802900444;1.0826563135692377;1.1003932830650243;1.0870270961365278;1.0910392666809194;1.0902602510092048;1.1109369498526016;1.08564833727216;1.0948005363931683;1.0925580923714626;1.091170728930683;1.0857232389066978;1.0880558522606816;1.0850981131736073;1.086867720424565;1.0832303465059845;1.0828747329885173;1.0832420074590983;1.0877390184961861;1.0846006839663251;1.0849295033638526;1.0828796522965822;1.0854276058311565;1.0833368787039295;1.0847610742301819;1.0826140798594943;1.0829805807471573;1.0828689555792947;1.085699810576673;1.0857220737770379;1.0868249478264953;1.087120093569793;1.0988640462907169;1.085687885557966;1.0922692716822222;1.0880570620996075;1.0868752360413791;1.0937761036907307;1.083239177070666;1.0971844454359099;1.0868153052766936;1.0859033605024022;1.0854293186833543;1.1049162878382608;1.0823728923971243;1.0927176773835219;1.0865337737872145;1.0880291896690704;1.087494925018072;1.0899990976000478;1.0915272164399108;1.101544019526485;1.0865872050240295;1.083218081894122;1.0816059284146653;1.0894708463383294;1.0842705227020795;1.08275197783032;1.0829481800368963;1.0880529182378376;1.0895921421778145;1.086106627468763;1.0830662271723106;1.1144402212851934;1.0819853767169543;1.0934101753090695;1.0830626232220506;1.0859017840376624;1.0918640387559497;1.0827380367190196
2;1.068;1.0831357185610844;1.0808808710478754;1.086058230036546;1.0867127143854134;1.0947849828487937;1.0865434136664558;1.08615153617815;1.080879548410013;1.0954244587278432;1.0813538939669298;1.0817414053896774;1.0935676063228599;1.082977354581036;1.1007525134998761;1.0873450744137934;1.091170529830798;1.0903503622436976;1.1110384734929097;1.08593288802974;1.0951656599943906;1.0926480147897981;1.091317892796948;1.0860734402805317;1.0882581575431778;1.085446882636658;1.0871880966791456;1.0835462164480618;1.0831986918440624;1.0835888956878699;1.088024239181387;1.0848794686914476;1.0851994640178273;1.0832039344775455;1.085776314561707;1.0836370299083387;1.085035198503725;1.0829305672311123;1.0833082004688086;1.0831910444524204;1.0860609091931326;1.0860691047105482;1.0871420439583195;1.0874718332011712;1.0991770533706728;1.0859628246656159;1.0923696163650722;1.0882590718909706;1.0871944023381659;1.0938355734507472;1.0835858052347185;1.0975321400120492;1.0871778652104367;1.0862472069460496;1.0857775436586552;1.1052769021138011;1.0826976652482296;1.0928428203465015;1.0868927902415078;1.0883020782509267;1.087847120735469;1.090173218817481;1.0916675503763933;1.1017424921657741;1.086810561268797;1.0835334747458076;1.081942826602991;1.089653887310184;1.0845561642861263;1.0830695251088545;1.0832535571753628;1.088323963401761;1.0897733017972744;1.0864526243590744;1.0833792763456231;1.1145356915799576;1.0823403714931354;1.0934866621988073;1.0834117922266966;1.0862460548103579;1.0919920231844518;1.083065927458024
3;1.068;1.0850621266273293;1.0826435697466847;1.0883470570525058;1.0890361761138267;1.0971249590983443;1.0887842775784813;1.0883163115926142;1.082644036062587;1.0982385294388628;1.0831532022543746;1.0835619894379391;1.096154447536297;1.0848938602784686;1.1031568199739958;1.09022729904446;1.0941499333002032;1.093732806076675;1.1149074701916006;1.0894916714925817;1.0975337925947513;1.095254548154415;1.09387670441807;1.0879339044261447;1.090590050837205;1.0876061024855324;1.0895708056164954;1.0854796381353276;1.0851154255999287;1.0854611721099263;1.0904649914615439;1.086922950493719;1.0872699667461392;1.085121317506249;1.0879814486511632;1.0855904834664358;1.087101462317525;1.0848507752678165;1.0852068429756827;1.0851116001632786;1.0883539652646144;1.0883187152379945;1.0900221983079075;1.089727197850358;1.1015926806155905;1.0894882142913553;1.094960674210844;1.0905902858832297;1.08957291766102;1.0964399958464293;1.0854575612551525;1.0998983348293634;1.089554691855132;1.088518233324268;1.0879815663232217;1.1077045676831474;1.0845836827011412;1.095815633130619;1.0892610601967765;1.090762152919672;1.0901076158412981;1.0927035044965228;1.094240943699996;1.1051357728198064;1.0889620622215301;1.0854659319569189;1.0837822981731042;1.0921591603638132;1.0865692921193038;1.0849940647569425;1.0852141339640258;1.0907848987611994;1.092284725659223;1.0887903089998996;1.085306885550729;1.1184036788953602;1.084230852663581;1.0961285473743196;1.0852667574847463;1.0885180560878793;1.0945704859954926;1.0849649326149922
4;1.068;1.0846149591898446;1.0822730678370878;1.087723295087079;1.0883876967678243;1.0963989119125161;1.0882048794736312;1.0877721132727296;1.0822725644594113;1.0975038177714311;1.0827651239865055;1.0831585662286793;1.0952199098327722;1.0844407878815827;1.1023427697248087;1.0894454763432786;1.0932181786583561;1.0926926295812391;1.1138232818607652;1.0884919872154055;1.0967926816747833;1.0943613729749875;1.0930260833927363;1.0875088653614848;1.0898930146315176;1.087067013617891;1.0888815887200889;1.0850184842261779;1.08467189111892;1.0850397014192403;1.0897341529215219;1.0863945378128528;1.0867246721401995;1.0846773858694287;1.0874123341472117;1.0851076595091251;1.0865614771751322;1.0844049117228658;1.0847711612869864;1.0846665262155428;1.0877279149997896;1.0877202270864879;1.0892421538082797;1.0891299215451702;1.1006637640021117;1.0885106919544916;1.094076360546493;1.08989361804892;1.088886490416896;1.0954974785214802;1.0850364096860738;1.0991184693483385;1.088927632918537;1.0879054555222039;1.0874130542970788;1.1068497201932006;1.0841505941840008;1.094872949359886;1.088638461232568;1.0900172045539134;1.0895034788465803;1.091892927912357;1.093380007410272;1.1042245589078588;1.0883488469102334;1.0850053647548057;1.0833757823903776;1.0913747836811454;1.0860608980569726;1.0845471792542776;1.0847542988340353;1.0900385421717833;1.0914941096975306;1.0881840004338206;1.0848492066949882;1.1172920653001768;1.0838063872955308;1.0952078568272956;1.0848524605443188;1.087904749774075;1.0936994930321788;1.0845294767995988
5;1.068;1.0838306999523135;1.0815591519602938;1.0868030372552215;1.0874673805867623;1.0954540764154446;1.0872933126621462;1.0868939512635987;1.0815575398210473;1.096483157874724;1.0820411115983535;1.0824307408580027;1.0943404230118234;1.083683634817222;1.1014318266857526;1.088198766886407;1.0921482694660278;1.0914198505305044;1.1127700187562843;1.086911009879214;1.095830575623895;1.0934700513537738;1.0921148583877556;1.0867260816499134;1.0890334368496977;1.0861964043590788;1.0879471553556204;1.0842453289241258;1.0838891916086075;1.0842678478610444;1.088796199392692;1.0856025825413949;1.085926857292009;1.0838940051561554;1.086525362094675;1.0843424290357242;1.0857638160539986;1.0836296795710618;1.0839962181287275;1.0838828035155716;1.0868050391924884;1.086818663504711;1.0879979719479946;1.088212617999074;1.099708263576874;1.0869447312526812;1.0931827386904849;1.0890344612964773;1.0879539412905392;1.0946158686544385;1.0842651035967312;1.098171576870756;1.0879408679496996;1.0869979053205272;1.086526771137883;1.106042085444496;1.0833931052750556;1.0938646952381013;1.0876568759230787;1.089078543652702;1.0885843006485405;1.0909774517633422;1.0924684545641403;1.1031101149640343;1.0875393191801594;1.0842332152199872;1.0826302630119982;1.090462726865687;1.085276967544055;1.0837657577338784;1.0839539532414877;1.0891004624903184;1.0905810253264887;1.0872211701953842;1.0840820076473892;1.1163474692728608;1.083041761060072;1.0943123958683376;1.0840882523908428;1.0869965952829717;1.0927913635761182;1.0837551966425178
6;1.068;1.0843569168153828;1.0820816618675422;1.087463473484087;1.0881378894649723;1.0961963994647637;1.0879411061497135;1.0875223760617765;1.0820808215654534;1.0973577333726012;1.0825696303581667;1.0829603880055838;1.095127535731031;1.0842315349386884;1.1022946038283938;1.0888974422456277;1.0929951308232437;1.0922971259355785;1.1142513865959727;1.0876694961414162;1.0965849542910768;1.0942295258379124;1.0928614592947272;1.0872495023740196;1.089688077954416;1.0868249186095063;1.0886313391065807;1.0847899773671668;1.0844171249431407;1.0848003503288666;1.089494940959201;1.0861673225446868;1.0865003059165688;1.0844223136889561;1.0871660336885147;1.084893374809513;1.0863358579280864;1.0841579980730753;1.084521761977955;1.084410409496346;1.0874672979988664;1.087470652575222;1.0886964496726688;1.0888722155324426;1.1005521870141486;1.0876974185227068;1.093940335147625;1.0896888092740666;1.088637396667267;1.095405132460568;1.084797304566114;1.0989500081951025;1.0886111045590747;1.0876555353946558;1.0871669631666594;1.1070519536370091;1.0839258321789627;1.0947771254869998;1.0883235141995697;1.0897816949843504;1.0892483739577923;1.0917034035628856;1.0932194747579198;1.1042224631773194;1.0881404575734213;1.0847773088754114;1.0831544184356237;1.0911769746849311;1.085834586016738;1.084292864101139;1.084475803602105;1.0898038008316007;1.09129813408884;1.0878747642563955;1.0846233606896751;1.1179569318272964;1.0835985814209304;1.0950834868342803;1.0846187041498345;1.0876546460318994;1.0935458844225354;1.0842814785378956
7;1.068;1.0845706334216028;1.0821650162510141;1.0878503974390223;1.0885663793199865;1.0966545078830625;1.0882826552550517;1.0878204060505146;1.082164772291349;1.0980576414405385;1.0826777071912166;1.0830945646459695;1.0959121785018235;1.084435915003105;1.1028797733158104;1.089521522040463;1.0939595885484075;1.0934420091778558;1.1158783391435156;1.0886116210898573;1.0970523456890677;1.0949875006479368;1.0935762357124263;1.087380912183513;1.0902427228273344;1.0871236254775505;1.089112070637766;1.085014331367369;1.084621426635208;1.0849516676173319;1.0900409984216326;1.0864901819813266;1.0868485787320534;1.0846270441250807;1.087497692710697;1.085148238844549;1.086675914264715;1.0843710302867686;1.0847102658295071;1.0846182725468143;1.0878556308071528;1.087835847852376;1.089320603141279;1.0892275284661292;1.1011746281740225;1.088619614901593;1.0946886838205676;1.0902432272453844;1.089115622310461;1.0961982351776238;1.0849482772364725;1.0994559075304857;1.0890052597948772;1.088038293475598;1.0874982513302538;1.1077798467983113;1.084111002934657;1.095806181126728;1.0887149166193781;1.0903502024665581;1.0896090404996477;1.0923859671972476;1.0939435219122084;1.1053405223275055;1.0885935715181905;1.0850010307631777;1.0832990915608878;1.0918378417962595;1.086129363329048;1.084506526436325;1.0847166086895983;1.0903746729456965;1.0919641222542882;1.0882561280370049;1.084843993429296;1.1197086423745635;1.0837501023951368;1.095866371290256;1.08475766608485;1.088037729489232;1.0942805344533235;1.0844707007594752
8;1.068;1.08490203565098;1.0824488183430245;1.0882773584986363;1.0890254377906226;1.0971296255326912;1.0886924387840582;1.0882123600523375;1.0824489957072283;1.0987279381970343;1.0829758579860829;1.0834043202782737;1.096683043269169;1.084781225544634;1.1034568907080018;1.0900045682596942;1.0947404184529248;1.094278652554131;1.117251251284512;1.0891773993486678;1.0975340668934086;1.0957353662033067;1.094258203612618;1.0876755815325907;1.0907942178121384;1.0875170815476018;1.089597758414443;1.0853624676801583;1.08494917907617;1.0852605977939862;1.0905708891127242;1.0868913073218514;1.0872644438292158;1.0849549655104107;1.0879068288928453;1.085514116286353;1.0870874866320266;1.0847040326357813;1.085031385391633;1.0849474099529366;1.0882835870357985;1.0882607596787055;1.089803984382843;1.089645170839168;1.101723210131527;1.0891848264251838;1.09542249069057;1.090794562176434;1.0896012403095174;1.0969789720332286;1.0852570718557697;1.099958195790293;1.0894338261356709;1.0884727643630032;1.0879071257599573;1.1084952185768064;1.0844382437934597;1.0966511494398303;1.0891415032112788;1.0908947115189036;1.0900297070105094;1.0930282427794051;1.09463790678651;1.1062955061249498;1.0890683436325828;1.0853489166522825;1.083606275958555;1.0924614570015123;1.0865168667004175;1.0848385560829608;1.0850567940424372;1.0909205223637124;1.0925921245541799;1.0886755694033803;1.0851906336074075;1.1212042515963812;1.0840688336762654;1.0966394026474169;1.085061538173746;1.0884724299836077;1.0949845190977663;1.0847925457923298
9;1.068;1.085012610866854;1.0825164686863964;1.088485507099684;1.089252603092468;1.0975177610597169;1.0889111668591491;1.0884190202679722;1.0825163626237868;1.0991770295463137;1.0830537509901261;1.0834927407940511;1.09717230589548;1.0848982672372578;1.1039231015728677;1.0903515759049898;1.095172148010579;1.0947676905023833;1.1180407666977805;1.0896094159310394;1.097918041749578;1.096182995399969;1.0946503098093607;1.0878546778329137;1.0910767769679015;1.0877063844126047;1.089842544138645;1.0854809580726625;1.0850570725813666;1.085372849498675;1.0908441641626316;1.0870570760987763;1.0874426947987739;1.0850627261034005;1.088104932635789;1.0856514351196802;1.0872617466622319;1.0848153465410844;1.0851416117252177;1.0850561404255552;1.0884910707118123;1.0884674919580346;1.0901459339023525;1.0898817201494129;1.1022770286950683;1.089614388450867;1.0958600589689313;1.0910772287395758;1.0898457184524102;1.0974731708470158;1.085369430646435;1.1004100304579234;1.0896592600717478;1.088684769315316;1.088105405310393;1.108997253553589;1.0845425788157699;1.0971029573207043;1.0893681281408372;1.0911780592815363;1.0902736227082055;1.093383811615779;1.0950385029624006;1.106918967159852;1.0892985143481984;1.0854676019202787;1.083694289330578;1.0927994636209617;1.0866703250434009;1.0849493311049017;1.0851728682786117;1.0912049228421317;1.0929341105439743;1.0889067689519225;1.0853102551440004;1.1220288609451319;1.084174770072522;1.0971055512025418;1.0851729009837467;1.0886842807320938;1.095395907648652;1.0848985667696884
